func,n,d,n_clusters,noise,weights,centers,dataset_num,title,optimal,mean,optimal_sc,mean_sc,distortion
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.03967474604548008, 0.903652146715506, 0.05667310957286265]","[0.2116257839086502, 0.5678366358607615, 0.2205375802305882]",39.14425970274124,50.455585325397756,1.2889651179650332
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.03177107774892039, 0.9080054195029955, 0.06022350646732471]","[0.20370638020172244, 0.5771363670239295, 0.21915725277434808]",38.38137400871661,49.95158834712908,1.3014538858297469
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.048205982710858915, 0.9025568148988019, 0.049237202593781566]","[0.21155264180504615, 0.5743807964466618, 0.21406656174829194]",38.99903957342343,49.96530372013735,1.281193184926202
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04729848154360129, 0.8940333746968011, 0.058668148614883585]","[0.20770137753087803, 0.5743176279382611, 0.2179809945308606]",38.67722107892684,49.545370721061104,1.2809961351658674
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.06843052096963197, 0.8998629505681923, 0.031706528475163934]","[0.2239746844163934, 0.5721965890691237, 0.20382872651448283]",39.22760937669989,49.945628199835824,1.273226408477039
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04758226002206521, 0.9052167755330094, 0.04720096470587604]","[0.21735816424273519, 0.5708664648090983, 0.2117753709481664]",38.98006601811879,50.12986903826859,1.2860385873889266
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.0424557601334924, 0.9023204985262794, 0.055223741341927514]","[0.2141332830357157, 0.572566116149378, 0.21330060081490632]",38.726075615816924,49.79017450297496,1.2857015256831013
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.06297562172990478, 0.8898143900743934, 0.047209988201458046]","[0.21679935689194707, 0.5709427961842278, 0.2122578469238252]",39.1423871203693,49.67158019207446,1.2689972136682965
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.08343194978004527, 0.8617428803382544, 0.05482517111796206]","[0.2300747071864409, 0.5552348512847789, 0.21469044152878006]",39.737174622176596,49.84092780214899,1.2542645086380568
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.0590373076775988, 0.8833527941613742, 0.05760990101759407]","[0.22433421480081467, 0.5664209430612768, 0.20924484213790845]",38.788486764101904,48.903179767464536,1.260765341656061
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05500585861901084, 0.8874231214252684, 0.057571019985517315]","[0.21575080618591855, 0.5688901062249014, 0.21535908758918]",39.16106555359984,49.88757115531107,1.2739073988431147
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.03922806850973067, 0.9119263999457233, 0.04884553398922225]","[0.21062487340154465, 0.5720752837990526, 0.21729984279940293]",39.47233319897345,50.40749260651529,1.2770335199700389
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.05698600439008407, 0.8991654729841865, 0.04384852263542151]","[0.21417977537779845, 0.5768124336380905, 0.20900779098411132]",39.477038075909576,50.1650651481302,1.2707403491535723
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.058238527948812804, 0.8984601816776732, 0.043301290394741836]","[0.2150492959692609, 0.568141085068946, 0.21680961896179318]",39.6271396479835,49.712102055694395,1.254496350160466
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.04789260924111961, 0.8990459435756024, 0.053061447177737614]","[0.21244691668282786, 0.5754389032608896, 0.21211418005628246]",38.92841579980278,49.21834001951644,1.2643293853166713
clustered,50,3,3.0,0.06,"[0.2, 0.2, 0.6]","[[1, 0, 0], [0, 0, 1], [0, 1, 0]]",0,"func-clustered_n-50_d-3_n_clusters-3_noise-0.06_weights-[0.2, 0.2, 0.6]_centers-[[1, 0, 0], [0, 0, 1], [0, 1, 0]]","[0.021626770078052582, 0.9217325770659025, 0.05664065287086304]","[0.20259161183584304, 0.5800436579281569, 0.21736473023599995]",39.01295289488124,50.22262997701535,1.2873321871414891
